0.000,0.010,0.018,0.030,0.041,0.054,0.057,0.072,0.081,0.085,0.103,0.108,0.123,0.138,0.136,0.152,0.163,0.164,0.170,0.190,0.200,0.208,0.209,0.227,0.242,0.260,0.269,0.264,0.281,0.289,0.301,0.313,0.328,0.332,0.333,0.352,0.351,0.374,0.380,0.399,0.401,0.406,0.406,0.430,0.436,0.444,0.461,0.476,0.479,0.500,
0.000,0.008,0.019,0.028,0.037,0.050,0.057,0.068,0.076,0.088,0.097,0.109,0.115,0.126,0.146,0.158,0.154,0.168,0.179,0.201,0.189,0.211,0.221,0.221,0.241,0.250,0.252,0.263,0.284,0.298,0.304,0.301,0.317,0.331,0.347,0.346,0.359,0.367,0.381,0.384,0.395,0.411,0.432,0.422,0.445,0.455,0.453,0.462,0.474,0.494,
0.000,0.011,0.021,0.031,0.041,0.049,0.060,0.073,0.082,0.093,0.105,0.107,0.121,0.134,0.148,0.145,0.164,0.172,0.176,0.194,0.201,0.219,0.222,0.230,0.239,0.254,0.263,0.278,0.283,0.295,0.296,0.318,0.320,0.327,0.352,0.343,0.357,0.358,0.378,0.389,0.397,0.421,0.434,0.421,0.436,0.447,0.453,0.479,0.479,0.492,
0.000,0.011,0.021,0.031,0.042,0.053,0.062,0.074,0.082,0.090,0.105,0.106,0.121,0.129,0.146,0.154,0.165,0.171,0.178,0.195,0.201,0.212,0.214,0.223,0.242,0.252,0.268,0.272,0.293,0.282,0.306,0.309,0.318,0.327,0.331,0.349,0.357,0.362,0.376,0.380,0.399,0.415,0.421,0.421,0.438,0.446,0.455,0.471,0.476,0.483,
0.000,0.013,0.023,0.032,0.043,0.055,0.062,0.072,0.082,0.095,0.100,0.113,0.125,0.135,0.141,0.151,0.167,0.165,0.188,0.189,0.202,0.206,0.218,0.237,0.240,0.257,0.271,0.272,0.279,0.294,0.291,0.321,0.329,0.332,0.342,0.359,0.370,0.375,0.385,0.391,0.401,0.399,0.422,0.435,0.435,0.452,0.457,0.477,0.479,0.492,
0.000,0.011,0.021,0.029,0.039,0.046,0.060,0.071,0.084,0.089,0.102,0.117,0.118,0.131,0.142,0.145,0.161,0.168,0.180,0.185,0.201,0.210,0.221,0.232,0.241,0.245,0.262,0.272,0.273,0.286,0.301,0.316,0.319,0.335,0.342,0.350,0.358,0.380,0.373,0.386,0.401,0.410,0.425,0.424,0.444,0.445,0.452,0.479,0.477,0.486,
0.000,0.012,0.022,0.033,0.043,0.051,0.063,0.072,0.083,0.095,0.101,0.102,0.126,0.136,0.143,0.153,0.156,0.163,0.184,0.194,0.202,0.211,0.217,0.225,0.246,0.252,0.259,0.270,0.287,0.297,0.301,0.308,0.315,0.332,0.334,0.354,0.367,0.360,0.387,0.389,0.398,0.407,0.414,0.446,0.438,0.450,0.458,0.480,0.484,0.489,
0.000,0.010,0.017,0.029,0.039,0.049,0.057,0.067,0.083,0.090,0.099,0.110,0.120,0.131,0.137,0.146,0.153,0.170,0.178,0.188,0.200,0.203,0.227,0.236,0.247,0.259,0.255,0.280,0.282,0.292,0.301,0.313,0.316,0.322,0.334,0.354,0.358,0.356,0.380,0.397,0.408,0.419,0.415,0.432,0.445,0.442,0.461,0.466,0.475,0.497,
0.000,0.012,0.023,0.032,0.045,0.049,0.065,0.075,0.086,0.095,0.099,0.109,0.123,0.128,0.150,0.149,0.167,0.169,0.188,0.191,0.204,0.213,0.221,0.228,0.243,0.248,0.256,0.276,0.291,0.296,0.299,0.310,0.330,0.326,0.339,0.352,0.363,0.363,0.388,0.387,0.400,0.414,0.434,0.430,0.446,0.450,0.470,0.465,0.488,0.497,
0.000,0.012,0.021,0.033,0.041,0.050,0.061,0.071,0.081,0.092,0.100,0.118,0.121,0.131,0.137,0.146,0.162,0.167,0.180,0.188,0.195,0.211,0.225,0.240,0.237,0.254,0.259,0.264,0.275,0.283,0.294,0.313,0.325,0.337,0.340,0.352,0.366,0.367,0.373,0.387,0.397,0.405,0.418,0.435,0.445,0.445,0.464,0.476,0.477,0.497,
